evaluations raw_y a_property a_tracked_parameter
1 1606856.1641215223 22.0000000000 0.0000000000
3 266123.5919817809 97.0000000000 1024.0000000000
10 16122721.7637096923 4.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 20414114.8543650061 85.0000000000 0.0000000000
2 4632405.3054117402 7.0000000000 1.0000000000
3 20703.1768862384 27.0000000000 1024.0000000000
10 890589.3352261984 58.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 5643751.7304366939 93.0000000000 0.0000000000
3 905673.3491270654 74.0000000000 1024.0000000000
10 557461.5796156595 94.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 25946468.1270108782 75.0000000000 0.0000000000
2 8681421.5955877360 13.0000000000 1.0000000000
3 2066380.0580909750 3.0000000000 1024.0000000000
5 734916.7695117573 96.0000000000 1048576.0000000000
6 381358.9956987186 5.0000000000 9765625.0000000000
10 1466054.4245110375 51.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 8142145.4430424124 94.0000000000 0.0000000000
3 4137440.5938141062 89.0000000000 1024.0000000000
8 1067223.0488742362 14.0000000000 282475249.0000000000
10 3575333.9748486257 90.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 6595973.2189838411 70.0000000000 0.0000000000
2 5077974.9435587209 27.0000000000 1.0000000000
3 577930.3859098593 91.0000000000 1024.0000000000
10 8081293.2195295244 53.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 25247881.6879753694 45.0000000000 0.0000000000
2 3987858.0510913334 81.0000000000 1.0000000000
4 3337995.1980181462 66.0000000000 59049.0000000000
5 492824.7211225399 52.0000000000 1048576.0000000000
10 4756140.8798369728 36.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 4981461.1740185432 5.0000000000 0.0000000000
2 687526.5101080904 25.0000000000 1.0000000000
10 15204000.0134217981 58.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 387909.0489725940 82.0000000000 0.0000000000
10 21177513.2891885340 33.0000000000 3486784401.0000000000
evaluations raw_y a_property a_tracked_parameter
1 18783521.4786452800 28.0000000000 0.0000000000
2 14951689.8808409758 29.0000000000 1.0000000000
3 14317105.6416488551 29.0000000000 1024.0000000000
9 12202044.7761891410 4.0000000000 1073741824.0000000000
10 383613.3219467503 49.0000000000 3486784401.0000000000
